sku,qty,ref,val,vendor
A-4008,30,C1 C2 C3 ,0.1u,tayda
A-615,20,D1 D2 ,1n914,tayda
A-4118,10,J7 ,Barrel_Jack_Switch,tayda
A-2193,60,R1 R5 R6 R7 R11 R12 ,75,tayda
A-2245,20,R13 R14 ,100,tayda
A-2277,20,R2 R8 ,1m,tayda
A-2200,40,R3 R4 R9 R10 ,1k,tayda
A-659,10,SW1 ,SW_SPDT,tayda
A-500,10,U2 ,LM317,tayda
